modelKey,code,featureKey,defaultValue
last_3_month_passenger_coupon_deduction,DW_TS_BASIC_last3MonthPassengerCouponDeduction,DW_TS_BASIC_last3MonthPassengerCouponDeduction,-9999
last_6_month_international_sum_driver_online_time,DW_TS_BASIC_last6MonthInternationalSumDriverOnlineTime,DW_TS_BASIC_last6MonthInternationalSumDriverOnlineTime,-9999
last_6_month_passenger_evening_finish_days_rate,DW_TS_BASIC_last6MonthPassengerEveningFinishDaysRate,DW_TS_BASIC_last6MonthPassengerEveningFinishDaysRate,-9999
last_3_month_not_online_actual_cost,DW_TS_BASIC_last3MonthNotOnlineActualCost,DW_TS_BASIC_last3MonthNotOnlineActualCost,-9999
last_6_month_rank_s_shop_orders,DW_TS_BASIC_last6MonthRankSShopOrders,DW_TS_BASIC_last6MonthRankSShopOrders,-9999
last_1_year_international_passenger_finish_charge_dis,DW_TS_BASIC_last1YearInternationalPassengerFinishChargeDis,DW_TS_BASIC_last1YearInternationalPassengerFinishChargeDis,-9999
last_1_year_passenger_restaurant_finish_orders,DW_TS_BASIC_last1YearPassengerRestaurantFinishOrders,DW_TS_BASIC_last1YearPassengerRestaurantFinishOrders,-9999
last_1_month_international_passenger_finish_charge_dis,DW_TS_BASIC_last1MonthInternationalPassengerFinishChargeDis,DW_TS_BASIC_last1MonthInternationalPassengerFinishChargeDis,-9999
last_180_day_max_actual_cost,DW_TS_BASIC_last180DayMaxActualCost,DW_TS_BASIC_last180DayMaxActualCost,-9999
last_14_day_passenger_category_finish_orders,DW_TS_BASIC_last14DayPassengerCategoryFinishOrders,DW_TS_BASIC_last14DayPassengerCategoryFinishOrders,-9999
last_1_year_international_passenger_week_finish_orders,DW_TS_BASIC_last1YearInternationalPassengerWeekFinishOrders,DW_TS_BASIC_last1YearInternationalPassengerWeekFinishOrders,-9999
last_3_month_international_passenger_late_order_months,DW_TS_BASIC_last3MonthInternationalPassengerLateOrderMonths,DW_TS_BASIC_last3MonthInternationalPassengerLateOrderMonths,-9999
